movieCd,movieNm,movieNmEn,openDt,genre1,genre2,genre3,audits
20195002,블랙머니,BLACK MONEY,20191113,범죄,드라마,,12세이상관람가
20181434,신의 한 수: 귀수편,The Divine Move 2: The Wrathful,20191107,범죄,액션,,15세이상관람가
20191029,82년생 김지영,"KIM JI-YOUNG, BORN 1982",20191023,드라마,액션,,12세이상관람가
20192083,터미네이터: 다크 페이트,Terminator: Dark Fate,20191030,액션,어드벤처,SF,15세이상관람가
20197721,엔젤 해즈 폴른,Angel Has Fallen,20191113,액션,스릴러,SF,15세이상관람가
20197279,아담스 패밀리,The Addams Family,20191107,애니메이션,코미디,가족,전체관람가
20198421,좀비랜드: 더블 탭,Zombieland: Double Tap,20191113,액션,코미디,공포(호러),15세이상관람가
20190280,날씨의 아이,Weathering With You,20191030,애니메이션,판타지,멜로/로맨스,15세이상관람가
20196284,윤희에게,Moonlit Winter,20191114,멜로/로맨스,판타지,멜로/로맨스,12세이상관람가
20199950,조커,Joker,20191002,액션,드라마,스릴러,15세이상관람가
20191589,말레피센트 2,Maleficent: Mistress of Evil,20191017,어드벤처,가족,판타지,12세이상관람가
20193801,닥터 슬립,Doctor Sleep,20191107,스릴러,가족,판타지,15세이상관람가
20195920,가장 보통의 연애,Crazy Romance,20191002,멜로/로맨스,코미디,판타지,15세이상관람가
20192589,빅 위시,SALMAS BIG WISH,20191030,판타지,애니메이션,어드벤처,전체관람가
20196136,람보 : 라스트 워,Rambo: Last Blood,20191023,액션,애니메이션,어드벤처,청소년관람불가
20198184,빅 2: 황금열쇠 대소동,Norm of the North: Keys to the Kingdom,20191030,애니메이션,가족,코미디,전체관람가
20184483,퍼펙트맨,Man of Men,20191002,코미디,드라마,코미디,15세이상관람가
20185361,두번할까요,"LOVE, AGAIN",20191017,코미디,멜로/로맨스,코미디,15세이상관람가
20197054,빅트립: 아기팬더 배달 대모험,Big trip,20191023,애니메이션,멜로/로맨스,코미디,전체관람가
20198961,더 킹: 헨리 5세,The King,20191023,드라마,멜로/로맨스,코미디,청소년관람불가
19910247,터미네이터2 3D,Terminator II,19910706,액션,SF,스릴러,중학생이상관람가
20191183,제미니 맨,Gemini Man,20191009,액션,드라마,SF,12세이상관람가
20194223,너를 만난 여름,My Best Summer,20191016,드라마,멜로/로맨스,SF,12세이상관람가
20193601,장사리 : 잊혀진 영웅들,Battle of Jangsari,20190925,전쟁,멜로/로맨스,SF,12세이상관람가
20183407,버티고,Vertigo,20191016,드라마,멜로/로맨스,SF,15세이상관람가
20196380,몬스터 하우스,GNOME ALONE,20191003,애니메이션,어드벤처,SF,전체관람가
20195941,소피와 드래곤: 마법책의 비밀,The Princess and The Dragon,20191002,애니메이션,판타지,어드벤처,전체관람가
20197691,잃어버린 세계를 찾아서,Missing Link,20191009,애니메이션,어드벤처,어드벤처,전체관람가
20184243,판소리 복서,My Punch-Drunk Boxer,20191009,코미디,드라마,어드벤처,12세이상관람가
20199446,원스 어폰 어 타임... 인 할리우드,Once Upon a Time... in Hollywood,20190925,드라마,코미디,어드벤처,청소년관람불가
20194456,양자물리학,By Quantum Physics: A Nightlife Venture,20190925,범죄,코미디,어드벤처,15세이상관람가
20188750,나쁜 녀석들: 더 무비,The Bad Guys: Reign of Chaos,20190911,범죄,액션,어드벤처,15세이상관람가
20192982,애드 아스트라,AD ASTRA,20190919,SF,스릴러,어드벤처,12세이상관람가
20184572,타짜: 원 아이드 잭,Tazza: One Eyed Jack,20190911,범죄,드라마,어드벤처,청소년관람불가
20193807,예스터데이,YESTERDAY,20190918,드라마,드라마,어드벤처,12세이상관람가
20187322,"힘을 내요, 미스터 리","CHEER UP, MR. LEE",20190911,코미디,드라마,어드벤처,12세이상관람가
20195968,더 룸,The Room,20190925,미스터리,스릴러,어드벤처,15세이상관람가
20193821,극장판 헬로카봇 : 달나라를 구해줘!,Hello Carbot the Movie: Save the Moon,20190904,애니메이션,스릴러,어드벤처,전체관람가
20192804,그것: 두 번째 이야기,It Chapter Two,20190904,스릴러,스릴러,어드벤처,15세이상관람가
20184621,엑시트,EXIT,20190731,코미디,액션,어드벤처,12세이상관람가
20181103,벌새,House of Hummingbird,20190829,드라마,액션,어드벤처,15세이상관람가
20181416,유열의 음악앨범,Tune in for Love,20190828,멜로/로맨스,드라마,어드벤처,12세이상관람가
20194045,극장판 반지의 비밀일기,,20190911,애니메이션,드라마,어드벤처,전체관람가
20196850,분노의 질주: 홉스&쇼,Fast & Furious Presents: Hobbs & Shaw,20190814,액션,드라마,어드벤처,12세이상관람가
20184543,변신,Metamorphosis,20190821,공포(호러),스릴러,어드벤처,15세이상관람가
20193665,47미터 2,47 METERS DOWN: UNCAGED,20190828,공포(호러),스릴러,어드벤처,15세이상관람가
20184462,봉오동 전투,The Battle: Roar to Victory,20190807,사극,액션,드라마,15세이상관람가
20194541,안녕 베일리,A Dog's journey,20190905,가족,액션,드라마,전체관람가
20185985,광대들: 풍문조작단,Jesters: The Game Changers,20190821,사극,액션,드라마,12세이상관람가
20194384,안나,ANNA,20190828,액션,액션,드라마,15세이상관람가
20171021,커런트 워,The Current War,20190822,드라마,액션,드라마,12세이상관람가
20198323,레드슈즈,Red Shoes,20190725,애니메이션,코미디,판타지,전체관람가
20182241,"안녕, 티라노: 영원히, 함께","My TYRANO: Together, Forever",20190814,애니메이션,코미디,판타지,전체관람가
20183844,마이펫의 이중생활 2,The Secret Life of Pets 2,20190731,애니메이션,어드벤처,코미디,전체관람가
20191604,애프터,After,20190822,드라마,멜로/로맨스,코미디,15세이상관람가
20188404,암전,Warning: Do Not Play,20190815,미스터리,공포(호러),코미디,15세이상관람가
20180442,사자,The Divine Fury,20190731,미스터리,액션,판타지,15세이상관람가
20187959,원더랜드,Wonder Park,20190814,애니메이션,코미디,어드벤처,전체관람가
20183867,알라딘,Aladdin,20190523,어드벤처,가족,판타지,전체관람가
20193275,브링 더 소울 : 더 무비,BRING THE SOUL : THE MOVIE,20190807,기타,가족,판타지,전체관람가
20175771,라이온 킹,The Lion King,20190717,어드벤처,드라마,가족,전체관람가
20191741,앵그리 버드 2: 독수리 왕국의 침공,The Angry Birds Movie 2,20190807,애니메이션,액션,가족,전체관람가
20190741,김복동,My Name Is KIM Bok-dong,20190808,다큐멘터리,액션,가족,12세이상관람가
20182490,나랏말싸미,The King's Letters,20190724,사극,액션,가족,전체관람가
20196309,스파이더맨: 파 프롬 홈,Spider-Man: Far From Home,20190702,액션,어드벤처,코미디,12세이상관람가
20192725,명탐정 코난: 감청의 권,Detective Conan: The Fist of Blue Sapphire,20190724,애니메이션,어드벤처,코미디,12세이상관람가
20190002,롱 샷,LONG SHOT,20190724,코미디,어드벤처,코미디,15세이상관람가
20184047,토이 스토리 4,Toy Story 4,20190620,애니메이션,어드벤처,코미디,전체관람가
20183782,기생충,PARASITE,20190530,드라마,어드벤처,코미디,15세이상관람가
20185353,기방도령,HOMME FATALE,20190710,코미디,사극,코미디,15세이상관람가
20185986,진범,The Culprit,20190710,스릴러,사극,코미디,15세이상관람가
20192222,사일런스,The Silence,20190717,공포(호러),스릴러,코미디,15세이상관람가
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,Butt Detective The Movie,20190711,애니메이션,스릴러,코미디,전체관람가
20192151,미드소마,Midsommar,20190711,공포(호러),스릴러,코미디,청소년관람불가
20199951,애나벨 집으로,Annabelle Comes Home,20190626,공포(호러),미스터리,스릴러,15세이상관람가
20196655,존 윅 3: 파라벨룸,John Wick: Chapter 3 - parabellum,20190626,액션,범죄,스릴러,청소년관람불가
20198453,롱 리브 더 킹: 목포 영웅,Long Live the King,20190619,액션,드라마,스릴러,15세이상관람가
20190273,천로역정: 천국을 찾아서,The Pilgrim's Progress,20190613,애니메이션,어드벤처,스릴러,전체관람가
20182585,비스트,The Beast,20190626,범죄,스릴러,스릴러,15세이상관람가
20192591,BIFAN2019 판타스틱 단편 걸작선 1,Fantastic Short Films 1,,기타,스릴러,스릴러,15세이상관람가
20192022,마담 싸이코,Greta,20190626,공포(호러),스릴러,스릴러,15세이상관람가
20196657,맨 인 블랙: 인터내셔널,Men in Black: International,20190612,액션,코미디,SF,12세이상관람가
20190885,사탄의 인형,Child's Play,20190620,공포(호러),코미디,SF,청소년관람불가
20182387,엑스맨: 다크 피닉스,X-MEN: DARK PHOENIX,20190605,액션,어드벤처,SF,12세이상관람가
20190466,세상을 바꾼 변호인,ON THE BASIS OF SEX,20190613,드라마,어드벤처,SF,12세이상관람가
19880001,이웃집 토토로,My Neighbor Totoro,20010728,애니메이션,드라마,SF,전체관람가
20191401,업사이드,The Upside,20190613,코미디,드라마,SF,12세이상관람가
20198291,로켓맨,Rocketman,20190605,드라마,판타지,SF,15세이상관람가
20184889,어벤져스: 엔드게임,Avengers: Endgame,20190424,액션,SF,SF,12세이상관람가
20188941,악인전,"The Gangster, The Cop, The Devil",20190515,범죄,액션,SF,청소년관람불가
20184865,고질라: 킹 오브 몬스터,Godzilla: King of the Monsters,20190529,액션,어드벤처,SF,12세이상관람가
20199063,빅샤크2: 해저2만리,Happy Little Submarine : 20000 Leagues under the Sea,20190606,애니메이션,어드벤처,SF,전체관람가
20188144,0.0MHz,0.0MHz,20190529,공포(호러),어드벤처,SF,15세이상관람가
20184082,걸캅스,Miss & Mrs. Cops,20190509,코미디,액션,SF,15세이상관람가
20199448,어린 의뢰인,My First Client,20190522,드라마,가족,SF,12세이상관람가
20198597,교회오빠,A Job Who Is near Us,20190516,다큐멘터리,가족,SF,전체관람가
20199822,더 보이,Brightburn,20190523,공포(호러),SF,SF,15세이상관람가
20187981,배심원들,Juror 8,20190515,드라마,SF,SF,12세이상관람가
20198598,명탐정 피카츄,Pokemon Detective Pikachu,20190509,액션,어드벤처,코미디,전체관람가
20185784,나의 특별한 형제,Inseparable Bros,20190501,드라마,코미디,코미디,12세이상관람가
20198183,뽀로로 극장판 보물섬 대모험,Treasure Island Adventure,20190425,애니메이션,가족,코미디,전체관람가
20185384,호텔 뭄바이,Hotel Mumbai,20190508,스릴러,가족,코미디,15세이상관람가
20197503,서스페리아,Suspiria,20190516,공포(호러),가족,코미디,청소년관람불가
20197147,어글리 돌,UglyDolls,20190501,애니메이션,가족,코미디,전체관람가
20169323,안도 타다오,Samurai Architect Tadao Ando,20190425,다큐멘터리,가족,코미디,전체관람가
20183096,생일,Birthday,20190403,드라마,가족,코미디,전체관람가
20181877,캡틴 마블,Captain Marvel,20190306,액션,어드벤처,SF,12세이상관람가
20060347,판의 미로 - 오필리아와 세 개의 열쇠,Pan's Labyrinth,20061130,드라마,판타지,전쟁,15세이상관람가
20199736,프렌즈: 둥지탈출,Manou the Swift,20190501,애니메이션,어드벤처,코미디,전체관람가
20183454,요로나의 저주,The Curse of La Llorona,20190417,공포(호러),어드벤처,코미디,15세이상관람가
20180825,미성년,Another Child,20190411,드라마,어드벤처,코미디,15세이상관람가
20198982,크게 될 놈,,20190418,드라마,어드벤처,코미디,15세이상관람가
19990220,노팅 힐,Notting Hill,19990703,멜로/로맨스,코미디,코미디,12세관람가
20176103,돈,Money,20190320,범죄,코미디,코미디,15세이상관람가
20198104,바이스,VICE,20190411,드라마,코미디,코미디,15세이상관람가
20185406,헬보이,Hellboy,20190410,액션,어드벤처,판타지,청소년관람불가
20182501,왓칭,Watching,20190417,공포(호러),스릴러,판타지,15세이상관람가
20198844,아이 엠 마더,Peppermint,20190411,액션,드라마,스릴러,15세이상관람가
20196244,샤잠!,SHAZAM!,20190403,액션,드라마,스릴러,12세이상관람가
20185352,어스,Us,20190327,공포(호러),스릴러,스릴러,15세이상관람가
20197423,공포의 묘지,Pet Sematary,20190410,공포(호러),스릴러,스릴러,15세이상관람가
20183773,장난스런 키스,Fall in Love at First Kiss,20190327,멜로/로맨스,스릴러,스릴러,12세이상관람가
20198403,파이브 피트,Five Feet Apart,20190410,드라마,멜로/로맨스,스릴러,15세이상관람가
20196025,덤보,Dumbo,20190327,가족,판타지,스릴러,전체관람가
20197092,로망,Romang,20190403,멜로/로맨스,판타지,스릴러,전체관람가
20198146,콜레트,COLETTE,20190327,드라마,판타지,스릴러,15세이상관람가
20197846,악질경찰,Jo Pil-ho: The Dawning Rage,20190320,범죄,드라마,스릴러,청소년관람불가
20175407,우상,Idol,20190320,스릴러,드라마,스릴러,15세이상관람가
20166301,썬키스 패밀리,Sunkist Family,20190327,가족,멜로/로맨스,코미디,15세이상관람가
20197483,1919 유관순,1919 Yu-kwan-sun,20190314,다큐멘터리,멜로/로맨스,코미디,12세이상관람가
20197283,이스케이프 룸,The Escape Room,20190314,액션,공포(호러),스릴러,15세이상관람가
20197356,라스트 미션,The Mule,20190314,드라마,공포(호러),스릴러,15세이상관람가
20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,Fate/stay night [Heaven's Feel] II.lost butterfly,20190321,애니메이션,액션,판타지,15세이상관람가
20197617,정글북: 마법 원정대,Savva,20190321,애니메이션,어드벤처,판타지,전체관람가
20184574,그린 북,Green Book,20190109,드라마,어드벤처,판타지,12세이상관람가
20196601,항거:유관순 이야기,A Resistance,20190227,드라마,어드벤처,판타지,12세이상관람가
20182530,극한직업,Extreme Job,20190123,코미디,어드벤처,판타지,15세이상관람가
20185881,증인,Innocent Witness,20190213,드라마,어드벤처,판타지,12세이상관람가
20177539,사바하,SVAHA : THE SIXTH FINGER,20190220,미스터리,스릴러,판타지,15세이상관람가
20196723,숲속왕국의 꿀벌 여왕,Tall Tales,20190314,애니메이션,어드벤처,코미디,전체관람가
20180937,더 페이버릿: 여왕의 여자,THE FAVOURITE,20190221,드라마,어드벤처,코미디,15세이상관람가
20177282,리노,Lino - Adventure of Seven Lives,20190307,애니메이션,어드벤처,가족,전체관람가
20176442,자전차왕 엄복동,Race to Freedom : Um Bok Dong,20190227,드라마,어드벤처,가족,12세이상관람가
20195743,신데렐라:마법 반지의 비밀,Cinderella and The Secret Prince,20190220,애니메이션,판타지,가족,전체관람가
20195791,"어쩌다, 결혼",Trade Your Love,20190227,멜로/로맨스,코미디,가족,12세이상관람가
