movieCd,rank,audiAcc,movieNm,movieNmEn,openDt,genre1,genre2,genre3,audits
20195002,1,1050331,블랙머니,BLACK MONEY,20191113.0,범죄,드라마,,12세이상관람가
20181434,2,1838581,신의 한 수: 귀수편,The Divine Move 2: The Wrathful,20191107.0,범죄,액션,,15세이상관람가
20191029,3,3491859,82년생 김지영,"KIM JI-YOUNG, BORN 1982",20191023.0,드라마,액션,,12세이상관람가
20192083,4,2310267,터미네이터: 다크 페이트,Terminator: Dark Fate,20191030.0,액션,어드벤처,SF,15세이상관람가
20197721,5,126377,엔젤 해즈 폴른,Angel Has Fallen,20191113.0,액션,스릴러,SF,15세이상관람가
20197279,6,319305,아담스 패밀리,The Addams Family,20191107.0,애니메이션,코미디,가족,전체관람가
20198421,7,104508,좀비랜드: 더블 탭,Zombieland: Double Tap,20191113.0,액션,코미디,공포(호러),15세이상관람가
20190280,8,612008,날씨의 아이,Weathering With You,20191030.0,애니메이션,판타지,멜로/로맨스,15세이상관람가
20196284,9,34608,윤희에게,Moonlit Winter,20191114.0,멜로/로맨스,판타지,멜로/로맨스,12세이상관람가
20199950,10,5239867,조커,Joker,20191002.0,액션,드라마,스릴러,15세이상관람가
20191589,6,1432023,말레피센트 2,Maleficent: Mistress of Evil,20191017.0,어드벤처,가족,판타지,12세이상관람가
20193801,8,46343,닥터 슬립,Doctor Sleep,20191107.0,스릴러,가족,판타지,15세이상관람가
20195920,9,2918537,가장 보통의 연애,Crazy Romance,20191002.0,멜로/로맨스,코미디,판타지,15세이상관람가
20192589,7,28884,빅 위시,SALMAS BIG WISH,20191030.0,판타지,애니메이션,어드벤처,전체관람가
20196136,8,92238,람보 : 라스트 워,Rambo: Last Blood,20191023.0,액션,애니메이션,어드벤처,청소년관람불가
20198184,10,11152,빅 2: 황금열쇠 대소동,Norm of the North: Keys to the Kingdom,20191030.0,애니메이션,가족,코미디,전체관람가
20184483,6,1224921,퍼펙트맨,Man of Men,20191002.0,코미디,드라마,코미디,15세이상관람가
20185361,7,169448,두번할까요,"LOVE, AGAIN",20191017.0,코미디,멜로/로맨스,코미디,15세이상관람가
20197054,8,32728,빅트립: 아기팬더 배달 대모험,Big trip,20191023.0,애니메이션,멜로/로맨스,코미디,전체관람가
20198961,9,10727,더 킹: 헨리 5세,The King,20191023.0,드라마,멜로/로맨스,코미디,청소년관람불가
19910247,10,11743,터미네이터2,Terminator II,19910706.0,액션,SF,스릴러,중학생이상관람가
20191183,6,375620,제미니 맨,Gemini Man,20191009.0,액션,드라마,SF,12세이상관람가
20194223,7,19205,너를 만난 여름,My Best Summer,20191016.0,드라마,멜로/로맨스,SF,12세이상관람가
20193601,8,1125481,장사리 : 잊혀진 영웅들,Battle of Jangsari,20190925.0,전쟁,멜로/로맨스,SF,12세이상관람가
20183407,9,11161,버티고,Vertigo,20191016.0,드라마,멜로/로맨스,SF,15세이상관람가
20196380,6,58604,몬스터 하우스,GNOME ALONE,20191003.0,애니메이션,어드벤처,SF,전체관람가
20195941,7,90886,소피와 드래곤: 마법책의 비밀,The Princess and The Dragon,20191002.0,애니메이션,판타지,어드벤처,전체관람가
20197691,8,17510,잃어버린 세계를 찾아서,Missing Link,20191009.0,애니메이션,어드벤처,어드벤처,전체관람가
20184243,9,16827,판소리 복서,My Punch-Drunk Boxer,20191009.0,코미디,드라마,어드벤처,12세이상관람가
20199446,10,270172,원스 어폰 어 타임... 인 할리우드,Once Upon a Time... in Hollywood,20190925.0,드라마,코미디,어드벤처,청소년관람불가
20194456,5,542651,양자물리학,By Quantum Physics: A Nightlife Venture,20190925.0,범죄,코미디,어드벤처,15세이상관람가
20188750,6,4556694,나쁜 녀석들: 더 무비,The Bad Guys: Reign of Chaos,20190911.0,범죄,액션,어드벤처,15세이상관람가
20192982,10,508767,애드 아스트라,AD ASTRA,20190919.0,SF,스릴러,어드벤처,12세이상관람가
20184572,6,2212819,타짜: 원 아이드 잭,Tazza: One Eyed Jack,20190911.0,범죄,드라마,어드벤처,청소년관람불가
20193807,7,292246,예스터데이,YESTERDAY,20190918.0,드라마,드라마,어드벤처,12세이상관람가
20187322,9,1166190,"힘을 내요, 미스터 리","CHEER UP, MR. LEE",20190911.0,코미디,드라마,어드벤처,12세이상관람가
20195968,10,44682,더 룸,The Room,20190925.0,미스터리,스릴러,어드벤처,15세이상관람가
20193821,6,558571,극장판 헬로카봇 : 달나라를 구해줘!,Hello Carbot the Movie: Save the Moon,20190904.0,애니메이션,스릴러,어드벤처,전체관람가
20192804,8,584467,그것: 두 번째 이야기,It Chapter Two,20190904.0,스릴러,스릴러,어드벤처,15세이상관람가
20184621,9,9407843,엑시트,EXIT,20190731.0,코미디,액션,어드벤처,12세이상관람가
20181103,10,93366,벌새,House of Hummingbird,20190829.0,드라마,액션,어드벤처,15세이상관람가
20181416,7,1225554,유열의 음악앨범,Tune in for Love,20190828.0,멜로/로맨스,드라마,어드벤처,12세이상관람가
20194045,8,56299,극장판 반지의 비밀일기,,20190911.0,애니메이션,드라마,어드벤처,전체관람가
20196850,9,3649860,분노의 질주: 홉스&쇼,Fast & Furious Presents: Hobbs & Shaw,20190814.0,액션,드라마,어드벤처,12세이상관람가
20184543,10,1797796,변신,Metamorphosis,20190821.0,공포(호러),스릴러,어드벤처,15세이상관람가
20193665,7,440356,47미터 2,47 METERS DOWN: UNCAGED,20190828.0,공포(호러),스릴러,어드벤처,15세이상관람가
20184462,8,4767092,봉오동 전투,The Battle: Roar to Victory,20190807.0,사극,액션,드라마,15세이상관람가
20194541,9,39817,안녕 베일리,A Dog's journey,20190905.0,가족,액션,드라마,전체관람가
20185985,10,632384,광대들: 풍문조작단,Jesters: The Game Changers,20190821.0,사극,액션,드라마,12세이상관람가
20194384,8,73250,안나,ANNA,20190828.0,액션,액션,드라마,15세이상관람가
20171021,9,194259,커런트 워,The Current War,20190822.0,드라마,액션,드라마,12세이상관람가
20198323,10,786502,레드슈즈,Red Shoes,20190725.0,애니메이션,코미디,판타지,전체관람가
20182241,7,189725,"안녕, 티라노: 영원히, 함께","My TYRANO: Together, Forever",20190814.0,애니메이션,코미디,판타지,전체관람가
20183844,8,1100521,마이펫의 이중생활 2,The Secret Life of Pets 2,20190731.0,애니메이션,어드벤처,코미디,전체관람가
20191604,9,37839,애프터,After,20190822.0,드라마,멜로/로맨스,코미디,15세이상관람가
20188404,6,85378,암전,Warning: Do Not Play,20190815.0,미스터리,공포(호러),코미디,15세이상관람가
20180442,7,1602046,사자,The Divine Fury,20190731.0,미스터리,액션,판타지,15세이상관람가
20187959,8,73851,원더랜드,Wonder Park,20190814.0,애니메이션,코미디,어드벤처,전체관람가
20183867,10,12501428,알라딘,Aladdin,20190523.0,어드벤처,가족,판타지,전체관람가
20193275,5,274064,브링 더 소울 : 더 무비,BRING THE SOUL : THE MOVIE,20190807.0,기타,가족,판타지,전체관람가
20175771,7,4684247,라이온 킹,The Lion King,20190717.0,어드벤처,드라마,가족,전체관람가
20191741,9,134529,앵그리 버드 2: 독수리 왕국의 침공,The Angry Birds Movie 2,20190807.0,애니메이션,액션,가족,전체관람가
20190741,10,29397,김복동,My Name Is KIM Bok-dong,20190808.0,다큐멘터리,액션,가족,12세이상관람가
20182490,7,930998,나랏말싸미,The King's Letters,20190724.0,사극,액션,가족,전체관람가
20196309,8,7996657,스파이더맨: 파 프롬 홈,Spider-Man: Far From Home,20190702.0,액션,어드벤처,코미디,12세이상관람가
20192725,9,214485,명탐정 코난: 감청의 권,Detective Conan: The Fist of Blue Sapphire,20190724.0,애니메이션,어드벤처,코미디,12세이상관람가
20190002,10,184741,롱 샷,LONG SHOT,20190724.0,코미디,어드벤처,코미디,15세이상관람가
20184047,8,3355808,토이 스토리 4,Toy Story 4,20190620.0,애니메이션,어드벤처,코미디,전체관람가
20183782,9,10041845,기생충,PARASITE,20190530.0,드라마,어드벤처,코미디,15세이상관람가
20185353,6,278008,기방도령,HOMME FATALE,20190710.0,코미디,사극,코미디,15세이상관람가
20185986,7,157393,진범,The Culprit,20190710.0,스릴러,사극,코미디,15세이상관람가
20192222,8,43202,사일런스,The Silence,20190717.0,공포(호러),스릴러,코미디,15세이상관람가
20191601,9,127100,극장판 엉덩이 탐정: 화려한 사건 수첩,Butt Detective The Movie,20190711.0,애니메이션,스릴러,코미디,전체관람가
20192151,10,69036,미드소마,Midsommar,20190711.0,공포(호러),스릴러,코미디,청소년관람불가
20199951,8,459037,애나벨 집으로,Annabelle Comes Home,20190626.0,공포(호러),미스터리,스릴러,15세이상관람가
20196655,9,913444,존 윅 3: 파라벨룸,John Wick: Chapter 3 - parabellum,20190626.0,액션,범죄,스릴러,청소년관람불가
20198453,7,1076594,롱 리브 더 킹: 목포 영웅,Long Live the King,20190619.0,액션,드라마,스릴러,15세이상관람가
20190273,8,228366,천로역정: 천국을 찾아서,The Pilgrim's Progress,20190613.0,애니메이션,어드벤처,스릴러,전체관람가
20182585,9,199009,비스트,The Beast,20190626.0,범죄,스릴러,스릴러,15세이상관람가
20192591,10,25000,BIFAN2019 판타스틱 단편 걸작선 1,Fantastic Short Films 1,,기타,스릴러,스릴러,15세이상관람가
20192022,9,37437,마담 싸이코,Greta,20190626.0,공포(호러),스릴러,스릴러,15세이상관람가
20196657,10,843703,맨 인 블랙: 인터내셔널,Men in Black: International,20190612.0,액션,코미디,SF,12세이상관람가
20190885,8,46546,사탄의 인형,Child's Play,20190620.0,공포(호러),코미디,SF,청소년관람불가
20182387,9,861032,엑스맨: 다크 피닉스,X-MEN: DARK PHOENIX,20190605.0,액션,어드벤처,SF,12세이상관람가
20190466,10,31379,세상을 바꾼 변호인,ON THE BASIS OF SEX,20190613.0,드라마,어드벤처,SF,12세이상관람가
19880001,6,142372,이웃집 토토로,My Neighbor Totoro,20010728.0,애니메이션,드라마,SF,전체관람가
20191401,7,30244,업사이드,The Upside,20190613.0,코미디,드라마,SF,12세이상관람가
20198291,8,98703,로켓맨,Rocketman,20190605.0,드라마,판타지,SF,15세이상관람가
20184889,10,13887813,어벤져스: 엔드게임,Avengers: Endgame,20190424.0,액션,SF,SF,12세이상관람가
20188941,6,3346654,악인전,"The Gangster, The Cop, The Devil",20190515.0,범죄,액션,SF,청소년관람불가
20184865,7,352862,고질라: 킹 오브 몬스터,Godzilla: King of the Monsters,20190529.0,액션,어드벤처,SF,12세이상관람가
20199063,8,44189,빅샤크2: 해저2만리,Happy Little Submarine : 20000 Leagues under the Sea,20190606.0,애니메이션,어드벤처,SF,전체관람가
20188144,10,133522,0.0MHz,0.0MHz,20190529.0,공포(호러),어드벤처,SF,15세이상관람가
20184082,7,1618601,걸캅스,Miss & Mrs. Cops,20190509.0,코미디,액션,SF,15세이상관람가
20199448,8,193949,어린 의뢰인,My First Client,20190522.0,드라마,가족,SF,12세이상관람가
20198597,9,65399,교회오빠,A Job Who Is near Us,20190516.0,다큐멘터리,가족,SF,전체관람가
20199822,10,88511,더 보이,Brightburn,20190523.0,공포(호러),SF,SF,15세이상관람가
20187981,6,270270,배심원들,Juror 8,20190515.0,드라마,SF,SF,12세이상관람가
20198598,8,680420,명탐정 피카츄,Pokemon Detective Pikachu,20190509.0,액션,어드벤처,코미디,전체관람가
20185784,9,1462434,나의 특별한 형제,Inseparable Bros,20190501.0,드라마,코미디,코미디,12세이상관람가
20198183,7,752508,뽀로로 극장판 보물섬 대모험,Treasure Island Adventure,20190425.0,애니메이션,가족,코미디,전체관람가
20185384,8,61163,호텔 뭄바이,Hotel Mumbai,20190508.0,스릴러,가족,코미디,15세이상관람가
20197503,10,19684,서스페리아,Suspiria,20190516.0,공포(호러),가족,코미디,청소년관람불가
20197147,9,50816,어글리 돌,UglyDolls,20190501.0,애니메이션,가족,코미디,전체관람가
20169323,10,25540,안도 타다오,Samurai Architect Tadao Ando,20190425.0,다큐멘터리,가족,코미디,전체관람가
20183096,6,1191113,생일,Birthday,20190403.0,드라마,가족,코미디,전체관람가
20181877,7,5796057,캡틴 마블,Captain Marvel,20190306.0,액션,어드벤처,SF,12세이상관람가
20060347,9,482408,판의 미로 - 오필리아와 세 개의 열쇠,Pan's Labyrinth,20061130.0,드라마,판타지,전쟁,15세이상관람가
20199736,10,10180,프렌즈: 둥지탈출,Manou the Swift,20190501.0,애니메이션,어드벤처,코미디,전체관람가
20183454,4,197125,요로나의 저주,The Curse of La Llorona,20190417.0,공포(호러),어드벤처,코미디,15세이상관람가
20180825,5,279305,미성년,Another Child,20190411.0,드라마,어드벤처,코미디,15세이상관람가
20198982,6,90320,크게 될 놈,,20190418.0,드라마,어드벤처,코미디,15세이상관람가
19990220,8,49958,노팅 힐,Notting Hill,19990703.0,멜로/로맨스,코미디,코미디,12세관람가
20176103,9,3388756,돈,Money,20190320.0,범죄,코미디,코미디,15세이상관람가
20198104,10,131698,바이스,VICE,20190411.0,드라마,코미디,코미디,15세이상관람가
20185406,4,311910,헬보이,Hellboy,20190410.0,액션,어드벤처,판타지,청소년관람불가
20182501,8,46139,왓칭,Watching,20190417.0,공포(호러),스릴러,판타지,15세이상관람가
20198844,10,83953,아이 엠 마더,Peppermint,20190411.0,액션,드라마,스릴러,15세이상관람가
20196244,5,636971,샤잠!,SHAZAM!,20190403.0,액션,드라마,스릴러,12세이상관람가
20185352,6,1450902,어스,Us,20190327.0,공포(호러),스릴러,스릴러,15세이상관람가
20197423,7,87134,공포의 묘지,Pet Sematary,20190410.0,공포(호러),스릴러,스릴러,15세이상관람가
20183773,8,390548,장난스런 키스,Fall in Love at First Kiss,20190327.0,멜로/로맨스,스릴러,스릴러,12세이상관람가
20198403,10,67395,파이브 피트,Five Feet Apart,20190410.0,드라마,멜로/로맨스,스릴러,15세이상관람가
20196025,7,296253,덤보,Dumbo,20190327.0,가족,판타지,스릴러,전체관람가
20197092,8,46938,로망,Romang,20190403.0,멜로/로맨스,판타지,스릴러,전체관람가
20198146,9,35223,콜레트,COLETTE,20190327.0,드라마,판타지,스릴러,15세이상관람가
20197846,6,254449,악질경찰,Jo Pil-ho: The Dawning Rage,20190320.0,범죄,드라마,스릴러,청소년관람불가
20175407,7,175481,우상,Idol,20190320.0,스릴러,드라마,스릴러,15세이상관람가
20166301,8,26086,썬키스 패밀리,Sunkist Family,20190327.0,가족,멜로/로맨스,코미디,15세이상관람가
20197483,9,46858,1919 유관순,1919 Yu-kwan-sun,20190314.0,다큐멘터리,멜로/로맨스,코미디,12세이상관람가
20197283,4,544462,이스케이프 룸,The Escape Room,20190314.0,액션,공포(호러),스릴러,15세이상관람가
20197356,6,93476,라스트 미션,The Mule,20190314.0,드라마,공포(호러),스릴러,15세이상관람가
20198603,7,24340,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,Fate/stay night [Heaven's Feel] II.lost butterfly,20190321.0,애니메이션,액션,판타지,15세이상관람가
20197617,8,22534,정글북: 마법 원정대,Savva,20190321.0,애니메이션,어드벤처,판타지,전체관람가
20184574,9,409871,그린 북,Green Book,20190109.0,드라마,어드벤처,판타지,12세이상관람가
20196601,10,1143977,항거:유관순 이야기,A Resistance,20190227.0,드라마,어드벤처,판타지,12세이상관람가
20182530,5,16243231,극한직업,Extreme Job,20190123.0,코미디,어드벤처,판타지,15세이상관람가
20185881,7,2519150,증인,Innocent Witness,20190213.0,드라마,어드벤처,판타지,12세이상관람가
20177539,8,2389760,사바하,SVAHA : THE SIXTH FINGER,20190220.0,미스터리,스릴러,판타지,15세이상관람가
20196723,10,18305,숲속왕국의 꿀벌 여왕,Tall Tales,20190314.0,애니메이션,어드벤처,코미디,전체관람가
20180937,7,133508,더 페이버릿: 여왕의 여자,THE FAVOURITE,20190221.0,드라마,어드벤처,코미디,15세이상관람가
20177282,8,16489,리노,Lino - Adventure of Seven Lives,20190307.0,애니메이션,어드벤처,가족,전체관람가
20176442,9,168884,자전차왕 엄복동,Race to Freedom : Um Bok Dong,20190227.0,드라마,어드벤처,가족,12세이상관람가
20195743,10,281705,신데렐라:마법 반지의 비밀,Cinderella and The Secret Prince,20190220.0,애니메이션,판타지,가족,전체관람가
